,name,Marka,GENEL BİLGİLER - Ürün Amacı,GPU Modeli,CPU Modeli,RAM Boyutu,Dokunmatik Ekran,Ekran Boyutu,Çözünürlük X,Çözünürlük Y,Yenileme Hz,price,G3D_L1,G3D_L2,G3D_L3,G3D_L4,GPU_PassMark_G3D,CPU_PassMark
739,Lenovo Thinkpad E16 G2 21MA008XTX 008,Lenovo,İş/Mobil,Intel Arc Graphics,Intel Core Ultra 7 155H,64.0,False,16.0,1920,1200,60.0,48674.76,,5506.0,,,5506.0,24826.0
740,Lenovo Thinkpad E16 G2 21MA002UTX 027,Lenovo,İş/Mobil,Intel Arc Graphics,Intel Core Ultra 7 155H,64.0,False,16.0,1920,1200,60.0,48713.44,,5506.0,,,5506.0,24826.0
741,Lenovo Thinkpad E16 G2 21MA002UTX Zi711,Lenovo,İş/Mobil,Intel Arc Graphics,Intel Core Ultra 7 155H,64.0,False,16.0,1920,1200,60.0,52800.0,,5506.0,,,5506.0,24826.0
742,Lenovo LOQ 15IAX9 83GS00P6TR,Lenovo,Oyun,NVIDIA GeForce RTX 4050 105W,Intel Core i5-12600HX,24.0,False,15.6,1920,1080,144.0,31819.0,,,14411.0,,14411.0,24607.0
743,Casper Excalibur G870.210H-DX60X-C,Casper,Oyun,NVIDIA GeForce RTX 5060,Intel Core 5 210H,32.0,False,15.6,1920,1080,60.0,57132.03,,20706.0,,,20706.0,18879.0
744,Dell G16 7630 G7630240101002,Dell,Oyun,NVIDIA GeForce RTX 4060,Intel Core i7-13700HX,16.0,False,16.0,2560,1600,60.0,52864.03,,19544.0,,,19544.0,32551.0
745,Monster Tulpar T7 V20.6.2,Monster,Oyun,NVIDIA GeForce RTX 4060 140W,Intel Core i7-13700H,32.0,False,17.3,1920,1080,144.0,63175.0,,,17452.0,,17452.0,26358.0
746,Asus Zenbook 14X OLED UM5401RA-KN069W,Asus,Genel Kullanım,AMD Radeon 680M,AMD Ryzen 9 6900HX,16.0,False,14.0,2880,1800,90.0,69749.0,,4593.0,,,4593.0,24336.0
747,Lenovo LOQ 15IAX9 83GS007WTRA4,Lenovo,Oyun,NVIDIA GeForce RTX 4050 105W,Intel Core i5-12450HX,8.0,False,15.6,1920,1080,144.0,41232.0,,,14411.0,,14411.0,18228.0
748,Asus ROG Strix G16 BMG614JVN315710,Asus,Oyun,NVIDIA GeForce RTX 4060 140W,Intel Core i7-13650HX,16.0,False,16.0,1920,1200,165.0,74999.0,,,17452.0,,17452.0,30673.0
